1.09E-238,5.73E-25,2.77E-16,2.77E-16,9.41E-48,3.07E-109,9.41E-48,8.46E-84,0,8.46E-84,0.10133065,0.053896946,1.328134298,0,0,0,0
3.16E-06,0,2.09E-106,2.09E-106,1.38E-16,1.19E-92,1.38E-16,9.41E-278,0,9.41E-278,1.298259328,1.085774927,1.300232505,0,0,1.97E-24,0
8.59E-302,0.001869779,8.355507504,8.357377284,1.04E-07,4.92E-256,1.04E-07,1.52E-78,1.27E-69,1.27E-69,0.117075459,1.239870406,0.007158653,8.52E-212,0,0,0
0,3.57E-38,0,3.57E-38,0,1.32E-153,1.32E-153,5.39E-156,0,5.39E-156,0.005312202,0.052310031,1.307475547,1.27E-05,0,19.16585799,0
2.57E-205,7.09E-113,0,7.09E-113,1.82E-120,2.75E-154,1.82E-120,1.02E-140,7.04E-184,1.02E-140,0.660231763,0.019035359,0.0438183,0,0,0,0
0,4.28E-163,0,4.28E-163,3.20E-25,0,3.20E-25,2.14E-05,1.03E-178,2.14E-05,1.329601175,0.852747863,0.640668992,0,0,9.09E-264,0
2.54E-63,3.88E-36,0,3.88E-36,3.66E-140,0,3.66E-140,1.83E-30,4.66E-112,1.83E-30,1.317646807,1.201144812,0.237574517,0,0,0,0
2.72E-222,1.71E-39,0,1.71E-39,0,9.14E-70,9.14E-70,0,6.53E-217,6.53E-217,0.011771996,0.014873511,1.328902158,0,1.73E-172,0,0
3.28E-06,2.93E-17,0,2.93E-17,1.76E-18,2.60E-23,1.76E-18,1.55E-50,1.05E-09,1.05E-09,0.043665502,0.373499606,0.061583111,1.05E-104,0,0,0
2.96E-20,2.72E-159,4.66E-167,2.72E-159,4.36E-87,0.641396087,0.641396087,0,0,0,0.056680626,0.458739616,0.893571934,18.10809563,0,0,0
1.42E-141,3.76E-262,1.11E-21,1.11E-21,0,2.19E-12,2.19E-12,8.22E-222,2.72E-20,2.72E-20,0.022213514,1.328108229,0.275328799,0,0,4.79E-90,0
3.72E-150,1.99E-263,2.94E-225,2.94E-225,3.33E-135,0,3.33E-135,2.24E-82,4.09E-37,4.09E-37,0.909243095,0.0205579,0.207721591,0,0,6.87E-276,0
0,5.97E-64,0,5.97E-64,1.51E-148,5.10E-15,5.10E-15,3.12E-147,8.78E-198,3.12E-147,1.055433153,0.910275607,0.071791715,7.71E-121,0,2.95E-271,0
0,1.90E-163,2.60E-202,1.90E-163,0,0,0,0,0,0,0.009006018,0.736560555,0.036226583,0,0,9.40E-147,1
2.55E-207,1.33E-205,7.89E-205,9.22E-205,6.32E-305,3.71E-87,3.71E-87,4.79E-281,7.46E-305,4.79E-281,0.199425491,0.060199836,0.00800556,3.57E-53,2.14E-266,0,2
0,4.96E-06,0,4.96E-06,5.05E-231,1.52E-68,1.52E-68,4.29E-176,9.50E-141,9.50E-141,0.019814579,0.034020642,0.423398679,1.90E-185,3.30E-08,1.60E-301,3
1.76E-235,2.38E-18,0,2.38E-18,4.02E-87,2.11E-131,4.02E-87,1.47E-248,0,1.47E-248,0.06692774,0.373718947,0.927284828,0.761746509,0,1.37E-95,4
7.81E-36,4.05E-20,6.49E-248,4.05E-20,1.37E-37,0.324589631,0.324589631,0,0,0,0.063641966,1.227023435,1.197706999,2.73E-71,1.26E-36,1.39E-184,5
14.52963165,1.752114211,0.002893405,1.755007616,0,0,0,0,1.22E-116,1.22E-116,0.018249109,0.039390123,0.040422865,0,2.46E-76,0,6
0,5.12E-162,2.71E-191,5.12E-162,3.26E-49,1.01E-48,1.34E-48,1.70E-21,3.11E-45,1.70E-21,0.815877941,0.087456596,0.094019051,0,0,0,7
8.279595464,14.67214324,2.04E-25,14.67214324,6.43E-23,8.11E-257,6.43E-23,1.68E-108,5.25E-23,5.25E-23,1.247363801,0.024442805,0.708367927,0,1.59E-75,0,8
7.15E-46,4.99E-12,1.73E-235,4.99E-12,8.35E-146,4.21E-77,4.21E-77,5.45E-37,8.61E-191,5.45E-37,0.183286829,0.128176219,0.389422853,0.010754444,0,3.81E-07,9
0,1.57E-288,3.21E-201,3.21E-201,0,0,0,1.73E-266,4.97E-241,4.97E-241,1.124311371,0.00944681,0.029846124,0,0,0,10
2.69E-274,5.04E-50,3.66E-11,3.66E-11,0,9.57E-211,9.57E-211,1.70E-198,1.56E-36,1.56E-36,1.235758337,1.309065319,0.276461568,0,0,0,11
8.65E-134,5.22E-105,5.97E-19,5.97E-19,0.129358775,0,0.129358775,0.020804752,6.62E-16,0.020804752,0.065500471,0.678929346,0.271720623,0,1.60E-277,0,12
5.80E-150,0,5.29E-136,5.29E-136,1.67E-16,5.69E-288,1.67E-16,1.01E-75,0.179078472,0.179078472,0.008052028,0.024057831,0.553244302,9.89E-93,0,1.67E-97,13
7.32E-41,4.66E-165,9.26E-219,4.66E-165,0,8.85E-16,8.85E-16,4.67E-22,7.01E-256,4.67E-22,0.129278552,0.224421207,0.1603369,1.35E-252,8.62E-82,2.52E-160,14
1.76E-08,5.02E-59,4.78E-14,4.78E-14,0,2.66E-23,2.66E-23,0,4.43E-80,4.43E-80,0.005404474,0.22787417,1.193508643,1.87E-95,0,0,15
0,8.46E-123,1.06E-250,8.46E-123,7.35E-84,1.55E-278,7.35E-84,3.99E-127,6.62E-125,6.66E-125,1.110669215,1.082337399,0.050850578,0,0,0,16
3.87E-286,1.16E-50,0,1.16E-50,1.11E-05,0.025890553,0.025901603,1.53E-11,2.87E-15,1.53E-11,0.509343342,0.020596042,0.040309544,0,2.04E-294,1.20E-06,17
0,5.28E-163,4.97E-162,5.50E-162,3.04E-203,6.38E-60,6.38E-60,5.13E-89,3.10E-169,5.13E-89,0.008097507,1.028099541,0.345552474,0,1.49E-29,6.09E-210,18
9.01E-17,1.08E-70,0,1.08E-70,1.17E-108,1.65E-164,1.17E-108,4.94E-80,2.16E-44,2.16E-44,0.040008227,0.013714645,0.019072306,0,6.76E-27,0.912738977,19
3.74E-264,0,4.14E-111,4.14E-111,9.03E-129,0,9.03E-129,0,1.43E-86,1.43E-86,0.660881524,0.451259216,0.081350787,0,0,3.04E-36,20
3.09E-88,1.14E-207,7.76E-34,7.76E-34,0.033123467,9.28E-162,0.033123467,2.07E-279,9.99E-38,9.99E-38,0.006267021,0.018061334,0.039542202,9.38E-86,4.96E-129,0,21
